Feature ID	Taxon	Confidence
f9d23a65ce88806ae41f035f7f5ce5b6	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	0.8958833897259766
4fb3538fa0a683f73a35033d937c8859	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Massilia	0.8804952494210935
d29bc3722fad33244dd43103dfe04592	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae	0.9733295714783213
c550b9a6a3f47b409074dee79d1c0de0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter	0.9993155150301661
215d6bdd3f892754af22450bce4e20f1	d__Bacteria	0.7963326626879479
d6a464b42a0cf73ca200d33a1f604863	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales	0.9917719369986561
1ab2df618d907b154780676595604455	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae	0.9980659013202001
6594c859fcd977728b190ba8fb9cec72	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Corynebacteriales; f__Dietziaceae; g__Dietzia	0.997418273247937
ccaac06ce1a399746aa80a64f12a005f	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae; g__Methylobacterium-Methylorubrum	0.954482238877018
a3c324c594283ccb1201122aa6a08513	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Paracoccus	0.9530433903700988
845fe2db6fd4aa30444c39b053706996	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Corynebacteriales; f__Corynebacteriaceae	0.9939835059289545
0c55c60bdb0b2ffc4d8f7ace4cf06534	d__Bacteria	0.9139317209645907
ef41d08b712ab42924cd1671d28b8dde	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter	0.9835511482026412
7f5d39103f3e073f8c9707820a22a8e3	d__Bacteria; p__Campilobacterota; c__Campylobacteria; o__Campylobacterales; f__Helicobacteraceae; g__Helicobacter	0.9956617757897821
db78dac8a471cd09a1494f8382378529	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Mitochondria; g__Mitochondria	0.9999999974774348
e8e111af9561bea03ec7d729494c799b	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Gardnerella; s__uncultured_bacterium	0.7118221190103184
c18c51a663a1b6278b79ac5dd82e87bd	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae	0.9962933898040771
